arch,categories,device_suitability,disk_gb,downloads,id,likes,name,org,param_val,params,tags,updated,url,version
gpt_neox,,Edge-Efficient (Phone/Tablet),5.29 GB,5339,databricks/dolly-v2-3b,293,databricks/dolly-v2-3b,databricks,3.0,3B,"transformers, pytorch, gpt_neox, text-generation, en, dataset:databricks/databricks-dolly-15k, license:mit, text-generation-inference, region:us",,https://huggingface.co/databricks/dolly-v2-3b,v2
internlm3,,Portable (Laptop/Desktop),16.4 GB,15980,internlm/internlm3-8b-instruct,228,internlm/internlm3-8b-instruct,internlm,8.8,8.8B,"safetensors, internlm3, text-generation, conversational, custom_code, arxiv:2403.17297, license:apache-2.0, region:us",,https://huggingface.co/internlm/internlm3-8b-instruct,N/A
llama,,Portable (Laptop/Desktop),22.58 GB,15999,01-ai/Yi-6B,377,01-ai/Yi-6B,01-ai,6.1,6.1B,"transformers, pytorch, safetensors, llama, text-generation, arxiv:2403.04652, arxiv:2311.16502, arxiv:2401.11944, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/01-ai/Yi-6B,arxiv:2403.04652
mistral,,Portable (Laptop/Desktop),26.98 GB,1460,Intel/neural-chat-7b-v3-1,547,Intel/neural-chat-7b-v3-1,Intel,7.2,7.2B,"transformers, pytorch, safetensors, mistral, text-generation, LLMs, Intel, conversational, en, dataset:Open-Orca/SlimOrca, arxiv:2306.02707, base_model:mistralai/Mistral-7B-v0.1, base_model:finetune:mistralai/Mistral-7B-v0.1, license:apache-2.0, model-index, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/Intel/neural-chat-7b-v3-1,v3
bert,,Ultra-Light (Mobile/IoT),0.41 GB,468,Intel/polite-guard,15,Intel/polite-guard,Intel,0.1095,109.5M,"transformers, onnx, safetensors, bert, text-classification, Intel, transformers.js, en, dataset:Intel/polite-guard, base_model:google-bert/bert-base-uncased, base_model:quantized:google-bert/bert-base-uncased, license:apache-2.0, model-index, endpoints_compatible, region:us",,https://huggingface.co/Intel/polite-guard,license:apache-2.0
blip,,Ultra-Light (Mobile/IoT),3.5 GB,1230738,Salesforce/blip-image-captioning-large,1439,Salesforce/blip-image-captioning-large,Salesforce,0.4697,469.7M,"transformers, pytorch, tf, safetensors, blip, image-to-text, image-captioning, arxiv:2201.12086, license:bsd-3-clause, endpoints_compatible, region:us",,https://huggingface.co/Salesforce/blip-image-captioning-large,arxiv:2201.12086
blip-2,,Edge-Efficient (Phone/Tablet),28.38 GB,536142,Salesforce/blip2-opt-2.7b,425,Salesforce/blip2-opt-2.7b,Salesforce,3.7,3.7B,"transformers, pytorch, safetensors, blip-2, image-to-text, vision, image-captioning, visual-question-answering, image-text-to-text, en, arxiv:2301.12597, license:mit, endpoints_compatible, region:us",,https://huggingface.co/Salesforce/blip2-opt-2.7b,2.7
SegformerForSemanticSegmentation,,Ultra-Light (Mobile/IoT),0.49 GB,208379,briaai/RMBG-1.4,1913,briaai/RMBG-1.4,briaai,0.0441,44.1M,"transformers, pytorch, onnx, safetensors, SegformerForSemanticSegmentation, image-segmentation, remove background, background, background-removal, Pytorch, vision, legal liability, transformers.js, custom_code, license:other, region:us",,https://huggingface.co/briaai/RMBG-1.4,1.4
Unknown,,Ultra-Light (Mobile/IoT),1.65 GB,419173,briaai/RMBG-2.0,973,briaai/RMBG-2.0,briaai,0.22069999999999998,220.7M,"transformers, pytorch, onnx, safetensors, image-segmentation, remove background, background, background-removal, Pytorch, vision, legal liability, transformers.js, custom_code, license:other, region:us",,https://huggingface.co/briaai/RMBG-2.0,2.0
xlm-roberta,,Ultra-Light (Mobile/IoT),2.12 GB,3141754,BAAI/bge-reranker-v2-m3,833,BAAI/bge-reranker-v2-m3,BAAI,0.5678,567.8M,"sentence-transformers, safetensors, xlm-roberta, text-classification, transformers, text-embeddings-inference, multilingual, arxiv:2312.15503, arxiv:2402.03216, license:apache-2.0, deploy:azure, region:us",,https://huggingface.co/BAAI/bge-reranker-v2-m3,v2
bert,,Ultra-Light (Mobile/IoT),2.5 GB,3316561,BAAI/bge-large-en-v1.5,609,BAAI/bge-large-en-v1.5,BAAI,0.3351,335.1M,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, text-embeddings-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/BAAI/bge-large-en-v1.5,v1.5
paddleocr_vl,,Ultra-Light (Mobile/IoT),1.79 GB,19726,PaddlePaddle/PaddleOCR-VL,1411,PaddlePaddle/PaddleOCR-VL,PaddlePaddle,0.9586,958.6M,"PaddleOCR, safetensors, paddleocr_vl, ERNIE4.5, PaddlePaddle, image-to-text, ocr, document-parse, layout, table, formula, chart, image-text-to-text, conversational, custom_code, en, zh, multilingual, arxiv:2510.14528, base_model:baidu/ERNIE-4.5-0.3B-Paddle, base_model:finetune:baidu/ERNIE-4.5-0.3B-Paddle, license:apache-2.0, region:us",,https://huggingface.co/PaddlePaddle/PaddleOCR-VL,ERNIE4.5
ti2v,,Portable (Laptop/Desktop),31.83 GB,3665,Wan-AI/Wan2.2-TI2V-5B,458,Wan-AI/Wan2.2-TI2V-5B,Wan-AI,5.0,5B,"wan2.2, diffusers, safetensors, ti2v, text-to-video, en, zh, arxiv:2503.20314, license:apache-2.0, region:us",,https://huggingface.co/Wan-AI/Wan2.2-TI2V-5B,2.2
qwen3,,Ultra-Light (Mobile/IoT),1.4 GB,7926979,Qwen/Qwen3-0.6B,889,Qwen/Qwen3-0.6B,Qwen,0.7516,751.6M,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/Qwen/Qwen3-0.6B,0.6
qwen3,,Portable (Laptop/Desktop),15.26 GB,4442062,Qwen/Qwen3-8B,814,Qwen/Qwen3-8B,Qwen,8.2,8.2B,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B-Base, base_model:finetune:Qwen/Qwen3-8B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/Qwen/Qwen3-8B,N/A
qwen3,,Ultra-Light (Mobile/IoT),1.11 GB,3972498,Qwen/Qwen3-Embedding-0.6B,788,Qwen/Qwen3-Embedding-0.6B,Qwen,0.5958,595.8M,"sentence-transformers, safetensors, qwen3, text-generation, transformers, sentence-similarity, feature-extraction, text-embeddings-inference, arxiv:2506.05176, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us, deploy:azure",,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,0.6
