DIMENSION_TYPE,DIMENSION_NAME,id,author,version,params,size_gb,date,downloads,likes,tags
Task,image-text-to-text,patrickamadeus/vanilla-4500,patrickamadeus,0.0,Unknown,0.0,2025-12-18,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,introvoyz041/VisCoder2-7B-mlx-4Bit,introvoyz041,41.0,7B,0.0,2025-12-18,0,0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'mlx', 'mlx-my-repo', 'image-tex"
Task,image-text-to-text,introvoyz041/VisCoder2-14B-mlx-4Bit,introvoyz041,41.0,14B,0.0,2025-12-18,0,0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'mlx', 'mlx-my-repo', 'image-tex"
Task,image-text-to-text,patrickamadeus/vanilla-4000,patrickamadeus,0.0,Unknown,0.0,2025-12-18,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,patrickamadeus/vanilla-3500,patrickamadeus,0.0,Unknown,0.0,2025-12-18,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,patrickamadeus/vanilla-3000,patrickamadeus,0.0,Unknown,0.0,2025-12-18,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,tanujd/mg4b,tanujd,0.0,4B,0.0,2025-12-18,0,0,"['transformers', 'safetensors', 'gemma3', 'any-to-any', 'medical', 'radiology', 'clinical-reasoning'"
Task,image-text-to-text,patrickamadeus/vanilla-2500,patrickamadeus,0.0,Unknown,0.0,2025-12-18,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,patrickamadeus/vanilla-2000,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,MuXodious/gemma-3n-E2B-it-absolute-heresy,MuXodious,3.0,2B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'gemma3n', 'any-to-any', 'automatic-speech-recognition', 'automatic-"
Task,image-text-to-text,MuXodious/gemma-3n-E4B-it-absolute-heresy-GGUF,MuXodious,3.0,4B,0.0,2025-12-17,0,0,"['transformers', 'gguf', 'automatic-speech-recognition', 'automatic-speech-translation', 'audio-text"
Task,image-text-to-text,patrickamadeus/vanilla-1500,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,patrickamadeus/vanilla-full-1000,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,patrickamadeus/vanilla-1000,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,MuXodious/gemma-3n-E4B-it-absolute-heresy,MuXodious,3.0,4B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'gemma3n', 'any-to-any', 'automatic-speech-recognition', 'automatic-"
Task,image-text-to-text,patrickamadeus/vanilla-full-500,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,hobinh288/Qwen3-VL-2B-Instruct-Q4_0-GGUF,hobinh288,4.0,2B,0.0,2025-12-17,0,0,"['transformers', 'gguf', 'llama-cpp', 'gguf-my-repo', 'image-text-to-text', 'base_model:Qwen/Qwen3-V"
Task,image-text-to-text,pebeto/gemma-3-4b-it-w4a4-fp4,pebeto,4.0,4B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'gemma3', 'any-to-any', 'image-text-to-text', 'conversational', 'bas"
Task,image-text-to-text,patrickamadeus/vanilla-500,patrickamadeus,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,qvshuo/bu-30b-a3b-preview-Q4_K_M-GGUF,qvshuo,4.0,30B,0.0,2025-12-17,0,0,"['transformers', 'gguf', 'browser_use', 'llama-cpp', 'gguf-my-repo', 'image-text-to-text', 'en', 'ba"
Task,image-text-to-text,PierrunoYT/moondream3-preview,PierrunoYT,3.0,Unknown,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'moondream3', 'text-generation', 'image-text-to-text', 'custom_code'"
Task,image-text-to-text,unsloth/GLM-4.6V,unsloth,4.6,Unknown,0.0,2025-12-17,0,4,"['transformers', 'safetensors', 'glm4v_moe', 'any-to-any', 'unsloth', 'image-text-to-text', 'convers"
Task,image-text-to-text,unsloth/GLM-4.6V-GGUF,unsloth,4.6,Unknown,0.0,2025-12-17,0,6,"['transformers', 'gguf', 'unsloth', 'image-text-to-text', 'zh', 'en', 'arxiv:2507.01006', 'base_mode"
Task,image-text-to-text,Open-Bee/Bee-8B-Stage1,Open-Bee,1.0,8B,0.0,2025-12-17,0,0,"['transformers', 'Bee-8B', 'Fully-Open-MLLMs', 'image-text-to-text', 'en', 'dataset:Open-Bee/Honey-D"
Task,image-text-to-text,Open-Bee/Bee-8B-Stage2,Open-Bee,2.0,8B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'Bee', 'feature-extraction', 'Bee-8B', 'Fully-Open-MLLMs', 'image-te"
Task,image-text-to-text,Open-Bee/Bee-8B-Stage3,Open-Bee,3.0,8B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'Bee', 'feature-extraction', 'Bee-8B', 'Fully-Open-MLLMs', 'image-te"
Task,image-text-to-text,Luckybalabala/AutoGLM-Phone-9B-Q4_K_M.gguf,Luckybalabala,4.0,9B,0.0,2025-12-17,0,1,"['gguf', 'glm4v', 'multimodal', 'vision-language', 'phone-automation', 'quantized', 'image-text-to-t"
Task,image-text-to-text,TheHelltaker/nanoVLMVanilla,TheHelltaker,0.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,6cyu/nanoVLM_scienceqa,6cyu,6.0,Unknown,0.0,2025-12-17,0,0,"['nanovlm', 'safetensors', 'vision-language', 'multimodal', 'research', 'image-text-to-text', 'licen"
Task,image-text-to-text,sky-mighty/bu-30b-a3b-preview-quantized,sky-mighty,0.0,30B,0.0,2025-12-17,0,1,"['transformers', 'gguf', 'browser_use', 'image-text-to-text', 'en', 'base_model:browser-use/bu-30b-a"
Task,image-text-to-text,me7war/Astria-8B-Instruct-2512,me7war,7.0,8B,0.0,2025-12-17,0,0,"['safetensors', 'mistral3', 'Astria', 'Astria-family', 'image-text-to-text', 'conversational', 'en',"
Task,image-text-to-text,mlx-community/bu-30b-a3b-preview-8bit,mlx-community,0.0,30B,0.0,2025-12-17,0,0,"['transformers', 'safetensors', 'qwen3_vl_moe', 'image-to-text', 'browser_use', 'mlx', 'image-text-t"
