dataset_name,suite_role,benchmark_frame,authoritative_source,mirror_source,source_paper,year,assay_type,task_type,sgRNA_count,positive_count,negatives_provided_flag,negatives_generation_required_flag,official_download_url,file_format,benchmark_ready_flag,reconstruction_required_flag,negative_construction_notes,preprocessing_notes,split_protocol_notes,source_of_record_flag,access_status,access_constraints,source_url_opened
CIRCLE-seq,primary,cclmoff_classification_transfer_lodo,Tsai lab source / CCLMoff Figshare,dagrate legacy mirror,Tsai et al. 2017,2017,CIRCLE-seq,binary classification and transfer,11,5796,false,true,https://github.com/tsailabSJ/circleseq,TSV/processed tables,false,true,CCLMoff generates negatives with Cas-OFFinder up to 6 mismatches plus bulge handling when applicable,processed off-target site tables needed for model-ready inputs,5-fold CV in CCLMoff frame; also transfer source for CIRCLE-to-GUIDE,true,live,processed table extraction or Figshare bundle needed,https://github.com/tsailabSJ/circleseq
GUIDE-seq (Tsai 2015),primary,cclmoff_classification_transfer_lodo,Tsai lab source / CCLMoff Figshare,dagrate legacy mirror,Tsai et al. 2015,2015,GUIDE-seq,binary classification and transfer target,10,414,false,true,https://github.com/tsailabSJ/guideseq,TSV/processed tables,false,true,CCLMoff uses generated negatives for transfer and LODO; baseline papers may use different mismatch caps,processed positive site table plus genome coordinates required,used as transfer target and LODO dataset in CCLMoff frame,true,live,processed table extraction or Figshare bundle needed,https://github.com/tsailabSJ/guideseq
CHANGE-seq,primary,crispai_regression_uncertainty_and_dnabert_epi_classifier,Lazzarotto et al. primary data / CCLMoff Figshare,Tsai lab CHANGE-seq pipeline,Lazzarotto et al. 2020,2020,CHANGE-seq,classification plus regression plus uncertainty,110,71254,false,true,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149295,GEO raw plus processed tables,false,true,classification baselines usually require generated negatives; crispAI predicts read-level/count distributions on processed activity tables,GEO raw is not benchmark-ready; processed site table or supplement extraction required,sgRNA-based CV for DNABERT-Epi; random split plus external test for crispAI; part of combined multi-assay pool for CCLMoff,true,live,GEO raw download is large and requires transformation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149295
DIG-seq,primary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Kim and Kim 2018,2018,DIG-seq,binary classification external validation,8,141,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,CCLMoff uses generated negatives from Cas-OFFinder with matched genome build,processed site table is expected from CCLMoff compiled data,leave-one-dataset-out external validation in CCLMoff frame,false,live,Figshare bundle needed for easiest use,https://doi.org/10.6084/m9.figshare.27080566.v2
DISCOVER-seq,primary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Wienert et al. 2019,2019,DISCOVER-seq,binary classification external validation,4,31,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,CCLMoff uses generated negatives from Cas-OFFinder with matched genome build,processed site table is expected from CCLMoff compiled data,leave-one-dataset-out external validation in CCLMoff frame,false,live,Figshare bundle needed for easiest use,https://doi.org/10.6084/m9.figshare.27080566.v2
DISCOVER-seq+,primary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Zou et al. 2023,2023,DISCOVER-seq+,binary classification external validation,4,98,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,CCLMoff uses generated negatives from Cas-OFFinder with matched genome build,processed site table is expected from CCLMoff compiled data,leave-one-dataset-out external validation in CCLMoff frame,false,live,Figshare bundle needed for easiest use,https://doi.org/10.6084/m9.figshare.27080566.v2
TTISS,primary,dnabert_epi_unified_classifier,DNABERT-Epi supplement,None,Schmid-Burgk et al. 2020,2020,TTISS,binary classification,59,,false,true,https://pmc.ncbi.nlm.nih.gov/articles/PMC12611124/,supplement table,false,true,DNABERT-Epi down-samples negatives and uses sgRNA-based CV definitions in supplement,processed benchmark table is typically supplement-derived,used in DNABERT-Epi unified 7-dataset classifier frame,false,live,supplement table extraction required,https://pmc.ncbi.nlm.nih.gov/articles/PMC12611124/
GUIDE-seq (Lazzarotto 2020),primary,dnabert_epi_unified_classifier,DNABERT-Epi supplement,None,Lazzarotto et al. 2020,2020,GUIDE-seq,binary classification,78,,false,true,https://pmc.ncbi.nlm.nih.gov/articles/PMC12611124/,supplement table,false,true,DNABERT-Epi down-samples negatives after candidate generation; exact generation differs from CCLMoff,processed benchmark table is supplement-derived,14-fold sgRNA-based CV in DNABERT-Epi frame,false,live,supplement table extraction required,https://pmc.ncbi.nlm.nih.gov/articles/PMC12611124/
SITE-seq,secondary,legacy_faststart_bundle,Cameron et al. paper / dagrate mirror,dagrate public_data_crisprCas9,Cameron et al. 2017,2017,SITE-seq,binary classification,9,3767,false,true,https://github.com/dagrate/public_data_crisprCas9/tree/main/data/site_seq,CSV,true,false,legacy curated CSV typically includes negatives or benchmark-ready candidate pairs,legacy mirror already normalized for quick experiments,secondary convenience bundle; not the sole modern claim frame,false,live,mirror rather than authoritative processed source,https://github.com/dagrate/public_data_crisprCas9/tree/main/data/site_seq
Digenome-seq,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Kim et al. 2015,2015,Digenome-seq,binary classification,10,258,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
SURRO-seq,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Pan et al. 2022,2022,SURRO-seq,binary classification,110,863,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
Extru-seq,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Kwon et al. 2023,2023,Extru-seq,binary classification,7,94,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
HTGTS,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Frock et al. 2015,2015,HTGTS,binary classification,3,87,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
IDLV,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Wang et al. 2015,2015,IDLV,binary classification,2,13,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
BLESS,secondary,cclmoff_classification_transfer_lodo,CCLMoff Figshare,None,Ran et al. 2015,2015,BLESS,binary classification,3,53,false,true,https://doi.org/10.6084/m9.figshare.27080566.v2,processed table,false,true,negatives generated in compiled benchmark,processed table bundled in compiled modern dataset,auxiliary in CCLMoff frame,false,live,Figshare bundle needed,https://doi.org/10.6084/m9.figshare.27080566.v2
UQAM encoded legacy bundle,secondary,legacy_faststart_bundle,UQAM bio.info server,dagrate/public_data_crisprCas9,Lin et al. 2020 / Charlier et al. 2021,2021,mixed assay,binary classification,Multiple,Multiple,true,false,http://bio.info.uqam.ca/data/encoded_data_for_experiments.pkl,pickle,true,false,legacy bundle already contains encoded candidate pairs and labels,immediately ML-ready but not identical to modern CCLMoff frame,secondary convenience suite only,false,live,HTTP only and no uptime SLA,http://bio.info.uqam.ca/data/encoded_data_for_experiments.pkl
CCLMoff compiled multi-assay bundle,primary,cclmoff_classification_transfer_lodo,Figshare release,None,Du et al. 2025,2025,multi-assay compiled,binary classification and transfer,418,82699,true,false,https://ndownloader.figshare.com/files/49344577,CSV,true,false,Bundle ships the compiled dataset used by CCLMoff; primary modern reference frame,processed compiled table ready for staging under primary_cclmoff,primary compiled source for CCLMoff frame,false,live,714692329 bytes; MD5 2a9be5c69a89c8eee3fdef0c03efae3a,https://figshare.com/articles/dataset/CCLMoff_A_CRISPR_Cas9_System_Off-target_Prediction_Tool_Using_Language_Model/27080566/2
